GVKEY,DATADATE,FYEAR,TIC,SIC,CONM,AT,NI,DV
001690,09/30/2015,2015,AAPL,3663,APPLE INC,290479.0000,53394.0000,11561.0000
001690,09/30/2016,2016,AAPL,3663,APPLE INC,321686.0000,45687.0000,12150.0000
001690,09/30/2017,2017,AAPL,3663,APPLE INC,375319.0000,48351.0000,12769.0000
001690,09/30/2018,2018,AAPL,3663,APPLE INC,365725.0000,59531.0000,13712.0000
006008,12/31/2015,2015,INTC,3674,INTEL CORP,103065.0000,11420.0000,4556.0000
006008,12/31/2016,2016,INTC,3674,INTEL CORP,113327.0000,10316.0000,4925.0000
006008,12/31/2017,2017,INTC,3674,INTEL CORP,123249.0000,9601.0000,5072.0000
006008,12/31/2018,2018,INTC,3674,INTEL CORP,127963.0000,21053.0000,5541.0000
006066,12/31/2015,2015,IBM,7370,INTL BUSINESS MACHINES CORP,110495.0000,13190.0000,4897.0000
006066,12/31/2016,2016,IBM,7370,INTL BUSINESS MACHINES CORP,117470.0000,11872.0000,5256.0000
006066,12/31/2017,2017,IBM,7370,INTL BUSINESS MACHINES CORP,125356.0000,5753.0000,5506.0000
006066,12/31/2018,2018,IBM,7370,INTL BUSINESS MACHINES CORP,123382.0000,8728.0000,5666.0000
012141,06/30/2015,2015,MSFT,7372,MICROSOFT CORP,176223.0000,12193.0000,9882.0000
012141,06/30/2016,2016,MSFT,7372,MICROSOFT CORP,193694.0000,16798.0000,11006.0000
012141,06/30/2017,2017,MSFT,7372,MICROSOFT CORP,241086.0000,21204.0000,11845.0000
012141,06/30/2018,2018,MSFT,7372,MICROSOFT CORP,258848.0000,16571.0000,12699.0000
012142,05/31/2016,2015,ORCL,7370,ORACLE CORP,112180.0000,8901.0000,2541.0000
012142,05/31/2017,2016,ORCL,7370,ORACLE CORP,134991.0000,9335.0000,2631.0000
012142,05/31/2018,2017,ORCL,7370,ORACLE CORP,137264.0000,3825.0000,3140.0000
012142,05/31/2019,2018,ORCL,7370,ORACLE CORP,108709.0000,11083.0000,2932.0000
018467,03/31/2016,2015,FJTSY,7373,FUJITSU LTD,28698.6570,771.7750,147.2250
018467,03/31/2017,2016,FJTSY,7373,FUJITSU LTD,28646.4230,794.2640,148.5500
018467,03/31/2018,2017,FJTSY,7373,FUJITSU LTD,29392.8630,1594.5390,193.0700
018467,03/31/2019,2018,FJTSY,7373,FUJITSU LTD,28020.1740,943.6380,240.5980
160329,12/31/2015,2015,GOOGL,7370,ALPHABET INC,147461.0000,16348.0000,0.0000
160329,12/31/2016,2016,GOOGL,7370,ALPHABET INC,167497.0000,19478.0000,0.0000
160329,12/31/2017,2017,GOOGL,7370,ALPHABET INC,197295.0000,12662.0000,0.0000
160329,12/31/2018,2018,GOOGL,7370,ALPHABET INC,232792.0000,30736.0000,0.0000
170617,12/31/2015,2015,FB,7370,FACEBOOK INC,49407.0000,3688.0000,0.0000
170617,12/31/2016,2016,FB,7370,FACEBOOK INC,64961.0000,10217.0000,0.0000
170617,12/31/2017,2017,FB,7370,FACEBOOK INC,84524.0000,15934.0000,0.0000
170617,12/31/2018,2018,FB,7370,FACEBOOK INC,97334.0000,22112.0000,0.0000
